genus,kingdom,phylum,subphylum,infraphylum,superclass,class,subclass,order,family,subfamily,tribe,fgroup1,fgroup2,fgroup3,calcifying
Phymatolithon,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Hapalidiales,Hapalidiaceae,Melobesioideae,,crust calcifier,,,
Plocamium,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Plocamiales,Plocamiaceae,,,filamentous,coarsely branched,,
Plumaria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,,Ptiloteae,filamentous,,,
Pollexfenia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Pterosiphonieae,,,,
Polycoelia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Kallymeniaceae,,,sheet,,,
Polyides,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Polyidaceae,,,thick leathery,,,
Polyneura,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Phycodryoideae,Phycodryeae,sheet,,,
Polyopes,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Halymeniales,Halymeniaceae,,,,,,
Polysiphonia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Polysiphonieae,filamentous,,,
Porphyra,Plantae,Rhodophyta,Eurhodophytina,,,Bangiophycidae,,Bangiales,Bangiaceae,,,sheet,,,
Portieria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Rhizophyllidaceae,,,,,,
Prionitis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Halymeniales,Halymeniaceae,,,,,,
Pseudolithophyllum,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,,,crust calcifier,,,yes
Pterocladiella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gelidiales,Pterocladiaceae,,,coarsely branched,,,
Pterosiphonia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Pterosiphonieae,coarsely branched,filamentous,,
Pterothamnion,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Ceramiaceae,Ceramioideae,Pterothamnieae,filamentous,,,
Ptilonia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Bonnemaisoniales,Bonnemaisoniaceae,,,,,,
Ptilophora,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gelidiales,Gelidiaceae,,,coarsely branched,filamentous,,
Ptilota,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,,Ptiloteae,coarsely branched,filamentous,,
Rhodochorton,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Acrochaetiales,Acrochaetiaceae,,,filamentous,,,
Rhodomela,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,,coarsely branched,filamentous,,
Rhodophyllis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Cystocloniaceae,,,sheet,,,
Rhodothamniella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Palmariales,Rhodothamniellaceae,,,filamentous,,,
Rhodymenia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Rhodymeniaceae,,,sheet,,,
Rytiphlaea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Amansieae,filamentous,coarsely branched,,
Sarcodia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Plocamiales,Sarcodiaceae,,,,,,
Sarcodiotheca,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Solieriaceae,,,,,,
Sarcothalia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Gigartinaceae,,,sheet,,,
Schizoseris,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Phycodryoideae,Schizoserideae,sheet,coarsely branched,,
Schizymenia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Nemastomatales,Schizymeniaceae,,,sheet,,,
Schottera,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Phyllophoraceae,,,sheet,coarsely branched,,
Scinaia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Nemaliales,Scinaiaceae,,,,,,
Solieria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Solieriaceae,,,coarsely branched,,,
Sonderopelta,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Peyssonnaliales,Peyssonneliaceae,,,thick leathery,crust,,
Sparlingia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Rhodymeniaceae,,,sheet,,,
Sphaerococcus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Sphaerococcaceae,,,coarsely branched,thick leathery,,
Spongoclonium,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,,Spongoclonieae,coarsely branched,,,
Stenogramma,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Phyllophoraceae,,,,,,
